dx,source,ref
bkl,real,ISIC_0024490
nv,real,ISIC_0024491
nv,real,ISIC_0024492
nv,real,ISIC_0024493
bkl,real,ISIC_0024495
nv,real,ISIC_0024497
bkl,real,ISIC_0024498
nv,real,ISIC_0024499
nv,real,ISIC_0024500
nv,real,ISIC_0024502
nv,real,ISIC_0024503
bkl,real,ISIC_0024505
nv,real,ISIC_0024507
nv,real,ISIC_0024508
nv,real,ISIC_0024509
nv,real,ISIC_0024510
akiec,real,ISIC_0024511
bcc,real,ISIC_0024515
nv,real,ISIC_0024519
nv,real,ISIC_0024520
nv,real,ISIC_0024521
nv,real,ISIC_0024523
nv,real,ISIC_0024524
mel,real,ISIC_0024525
nv,real,ISIC_0024526
nv,real,ISIC_0024527
nv,real,ISIC_0024528
nv,real,ISIC_0024529
nv,real,ISIC_0024530
nv,real,ISIC_0024532
nv,real,ISIC_0024536
mel,real,ISIC_0024537
nv,real,ISIC_0024544
mel,real,ISIC_0024545
mel,real,ISIC_0024546
bkl,real,ISIC_0024547
nv,real,ISIC_0024551
mel,real,ISIC_0024552
df,real,ISIC_0024553
nv,real,ISIC_0024555
nv,real,ISIC_0024557
nv,real,ISIC_0024558
nv,real,ISIC_0024559
nv,real,ISIC_0024560
nv,real,ISIC_0024561
akiec,real,ISIC_0024562
nv,real,ISIC_0024563
bcc,real,ISIC_0024564
nv,real,ISIC_0024565
nv,real,ISIC_0024568
nv,real,ISIC_0024569
bcc,real,ISIC_0024573
nv,real,ISIC_0024574
akiec,real,ISIC_0024575
nv,real,ISIC_0024576
nv,real,ISIC_0024580
bkl,real,ISIC_0024581
bcc,real,ISIC_0024582
nv,real,ISIC_0024583
nv,real,ISIC_0024584
mel,real,ISIC_0024586
nv,real,ISIC_0024587
nv,real,ISIC_0024589
nv,real,ISIC_0024591
bcc,real,ISIC_0024595
nv,real,ISIC_0024596
nv,real,ISIC_0024597
nv,real,ISIC_0024599
bkl,real,ISIC_0024602
nv,real,ISIC_0024603
nv,real,ISIC_0024604
nv,real,ISIC_0024605
nv,real,ISIC_0024609
nv,real,ISIC_0024611
bkl,real,ISIC_0024612
nv,real,ISIC_0024615
nv,real,ISIC_0024616
nv,real,ISIC_0024617
nv,real,ISIC_0024618
nv,real,ISIC_0024619
nv,real,ISIC_0024620
nv,real,ISIC_0024621
nv,real,ISIC_0024622
bkl,real,ISIC_0024623
nv,real,ISIC_0024625
bkl,real,ISIC_0024626
nv,real,ISIC_0024627
nv,real,ISIC_0024628
nv,real,ISIC_0024629
mel,real,ISIC_0024630
nv,real,ISIC_0024631
nv,real,ISIC_0024633
bkl,real,ISIC_0024635
nv,real,ISIC_0024636
nv,real,ISIC_0024637
nv,real,ISIC_0024638
nv,real,ISIC_0024639
mel,real,ISIC_0024640
nv,real,ISIC_0024641
nv,real,ISIC_0024642
bkl,real,ISIC_0024643
nv,real,ISIC_0024645
akiec,real,ISIC_0024646
nv,real,ISIC_0024648
nv,real,ISIC_0024649
nv,real,ISIC_0024651
nv,real,ISIC_0024655
nv,real,ISIC_0024658
nv,real,ISIC_0024659
vasc,real,ISIC_0024662
nv,real,ISIC_0024663
nv,real,ISIC_0024664
bcc,real,ISIC_0024666
nv,real,ISIC_0024667
nv,real,ISIC_0024668
vasc,real,ISIC_0024669
nv,real,ISIC_0024671
bkl,real,ISIC_0024672
nv,real,ISIC_0024674
mel,real,ISIC_0024675
bkl,real,ISIC_0024676
nv,real,ISIC_0024678
mel,real,ISIC_0024679
nv,real,ISIC_0024680
nv,real,ISIC_0024681
nv,real,ISIC_0024683
nv,real,ISIC_0024685
nv,real,ISIC_0024687
nv,real,ISIC_0024689
nv,real,ISIC_0024690
nv,real,ISIC_0024691
nv,real,ISIC_0024693
nv,real,ISIC_0024694
nv,real,ISIC_0024695
bkl,real,ISIC_0024696
nv,real,ISIC_0024697
nv,real,ISIC_0024698
mel,real,ISIC_0024700
mel,real,ISIC_0024701
mel,real,ISIC_0024702
nv,real,ISIC_0024704
bkl,real,ISIC_0024705
vasc,real,ISIC_0024706
akiec,real,ISIC_0024707
bkl,real,ISIC_0024711
nv,real,ISIC_0024712
nv,real,ISIC_0024713
nv,real,ISIC_0024714
nv,real,ISIC_0024715
nv,real,ISIC_0024717
nv,real,ISIC_0024718
nv,real,ISIC_0024720
nv,real,ISIC_0024724
bkl,real,ISIC_0024726
nv,real,ISIC_0024727
nv,real,ISIC_0024728
mel,real,ISIC_0024729
nv,real,ISIC_0024730
mel,real,ISIC_0024732
mel,real,ISIC_0024733
nv,real,ISIC_0024735
nv,real,ISIC_0024736
mel,real,ISIC_0024739
bkl,real,ISIC_0024740
bkl,real,ISIC_0024741
nv,real,ISIC_0024742
nv,real,ISIC_0024744
nv,real,ISIC_0024745
nv,real,ISIC_0024746
vasc,real,ISIC_0024747
bkl,real,ISIC_0024748
nv,real,ISIC_0024750
nv,real,ISIC_0024753
nv,real,ISIC_0024754
nv,real,ISIC_0024755
mel,real,ISIC_0024756
nv,real,ISIC_0024759
bkl,real,ISIC_0024760
bkl,real,ISIC_0024761
nv,real,ISIC_0024762
akiec,real,ISIC_0024763
nv,real,ISIC_0024764
nv,real,ISIC_0024765
mel,real,ISIC_0024767
nv,real,ISIC_0024768
bkl,real,ISIC_0024770
akiec,real,ISIC_0024771
bkl,real,ISIC_0024774
nv,real,ISIC_0024779
nv,real,ISIC_0024780
bkl,real,ISIC_0024782
nv,real,ISIC_0024783
nv,real,ISIC_0024784
nv,real,ISIC_0024785
bkl,real,ISIC_0024786
bcc,real,ISIC_0024787
nv,real,ISIC_0024788
nv,real,ISIC_0024789
nv,real,ISIC_0024790
mel,real,ISIC_0024792
nv,real,ISIC_0024794
bcc,real,ISIC_0024795
nv,real,ISIC_0024796
bcc,real,ISIC_0024799
nv,real,ISIC_0024801
nv,real,ISIC_0024802
mel,real,ISIC_0024805
mel,real,ISIC_0024806
nv,real,ISIC_0024809
nv,real,ISIC_0024810
nv,real,ISIC_0024811
nv,real,ISIC_0024812
nv,real,ISIC_0024813
bkl,real,ISIC_0024814
nv,real,ISIC_0024815
nv,real,ISIC_0024816
nv,real,ISIC_0024818
nv,real,ISIC_0024822
bkl,real,ISIC_0024825
nv,real,ISIC_0024826
nv,real,ISIC_0024827
bcc,real,ISIC_0024829
nv,real,ISIC_0024830
nv,real,ISIC_0024831
bkl,real,ISIC_0024832
nv,real,ISIC_0024834
nv,real,ISIC_0024837
nv,real,ISIC_0024838
nv,real,ISIC_0024840
nv,real,ISIC_0024841
nv,real,ISIC_0024842
nv,real,ISIC_0024844
df,real,ISIC_0024845
nv,real,ISIC_0024847
bcc,real,ISIC_0024848
nv,real,ISIC_0024849
bkl,real,ISIC_0024850
bkl,real,ISIC_0024851
nv,real,ISIC_0024852
mel,real,ISIC_0024853
nv,real,ISIC_0024856
nv,real,ISIC_0024857
nv,real,ISIC_0024858
nv,real,ISIC_0024859
nv,real,ISIC_0024860
mel,real,ISIC_0024864
mel,real,ISIC_0024865
nv,real,ISIC_0024866
vasc,real,ISIC_0024867
nv,real,ISIC_0024870
nv,real,ISIC_0024872
nv,real,ISIC_0024873
mel,real,ISIC_0024875
nv,real,ISIC_0024876
bkl,real,ISIC_0024877
nv,real,ISIC_0024878
nv,real,ISIC_0024879
bkl,real,ISIC_0024881
nv,real,ISIC_0024882
bcc,real,ISIC_0024885
mel,real,ISIC_0024886
bkl,real,ISIC_0024890
nv,real,ISIC_0024891
nv,real,ISIC_0024892
bkl,real,ISIC_0024893
nv,real,ISIC_0024894
nv,real,ISIC_0024896
bcc,real,ISIC_0024897
mel,real,ISIC_0024898
nv,real,ISIC_0024899
mel,real,ISIC_0024900
nv,real,ISIC_0024901
nv,real,ISIC_0024902
nv,real,ISIC_0024903
nv,real,ISIC_0024905
nv,real,ISIC_0024907
bkl,real,ISIC_0024909
bkl,real,ISIC_0024910
mel,real,ISIC_0024911
akiec,real,ISIC_0024913
nv,real,ISIC_0024914
bkl,real,ISIC_0024915
nv,real,ISIC_0024917
mel,real,ISIC_0024918
nv,real,ISIC_0024919
nv,real,ISIC_0024920
nv,real,ISIC_0024921
nv,real,ISIC_0024922
nv,real,ISIC_0024924
nv,real,ISIC_0024928
mel,real,ISIC_0024929
mel,real,ISIC_0024930
mel,real,ISIC_0024932
nv,real,ISIC_0024933
nv,real,ISIC_0024935
nv,real,ISIC_0024936
nv,real,ISIC_0024937
nv,real,ISIC_0024938
mel,real,ISIC_0024940
nv,real,ISIC_0024941
nv,real,ISIC_0024942
bkl,real,ISIC_0024943
nv,real,ISIC_0024944
nv,real,ISIC_0024945
akiec,real,ISIC_0024946
bkl,real,ISIC_0024947
akiec,real,ISIC_0024948
bcc,real,ISIC_0024949
nv,real,ISIC_0024950
mel,real,ISIC_0024951
mel,real,ISIC_0024952
nv,real,ISIC_0024954
nv,real,ISIC_0024955
nv,real,ISIC_0024956
nv,real,ISIC_0024957
mel,real,ISIC_0024958
nv,real,ISIC_0024959
nv,real,ISIC_0024960
mel,real,ISIC_0024961
nv,real,ISIC_0024963
nv,real,ISIC_0024965
nv,real,ISIC_0024968
nv,real,ISIC_0024969
bkl,real,ISIC_0024970
bkl,real,ISIC_0024971
mel,real,ISIC_0024972
df,real,ISIC_0024973
nv,real,ISIC_0024974
nv,real,ISIC_0024975
nv,real,ISIC_0024976
nv,real,ISIC_0024977
nv,real,ISIC_0024978
nv,real,ISIC_0024979
bkl,real,ISIC_0024981
bcc,real,ISIC_0024984
nv,real,ISIC_0024985
nv,real,ISIC_0024986
nv,real,ISIC_0024988
nv,real,ISIC_0024990
nv,real,ISIC_0024991
nv,real,ISIC_0024992
nv,real,ISIC_0024993
nv,real,ISIC_0024995
nv,real,ISIC_0024996
bkl,real,ISIC_0024997
nv,real,ISIC_0024998
mel,real,ISIC_0024999
nv,real,ISIC_0025000
nv,real,ISIC_0025001
nv,real,ISIC_0025002
nv,real,ISIC_0025003
bkl,real,ISIC_0025005
nv,real,ISIC_0025007
nv,real,ISIC_0025010
nv,real,ISIC_0025011
nv,real,ISIC_0025012
nv,real,ISIC_0025013
nv,real,ISIC_0025014
nv,real,ISIC_0025015
bkl,real,ISIC_0025016
nv,real,ISIC_0025017
bcc,real,ISIC_0025019
nv,real,ISIC_0025021
nv,real,ISIC_0025023
nv,real,ISIC_0025025
nv,real,ISIC_0025027
nv,real,ISIC_0025028
akiec,real,ISIC_0025029
bkl,real,ISIC_0025030
bcc,real,ISIC_0025031
nv,real,ISIC_0025034
mel,real,ISIC_0025035
nv,real,ISIC_0025036
nv,real,ISIC_0025039
nv,real,ISIC_0025041
nv,real,ISIC_0025042
nv,real,ISIC_0025043
nv,real,ISIC_0025044
nv,real,ISIC_0025048
nv,real,ISIC_0025049
nv,real,ISIC_0025050
nv,real,ISIC_0025052
nv,real,ISIC_0025053
nv,real,ISIC_0025054
nv,real,ISIC_0025055
nv,real,ISIC_0025056
nv,real,ISIC_0025057
nv,real,ISIC_0025059
nv,real,ISIC_0025060
nv,real,ISIC_0025061
nv,real,ISIC_0025062
bkl,real,ISIC_0025063
bkl,real,ISIC_0025066
nv,real,ISIC_0025067
bkl,real,ISIC_0025068
nv,real,ISIC_0025070
nv,real,ISIC_0025071
nv,real,ISIC_0025072
nv,real,ISIC_0025074
bkl,real,ISIC_0025075
nv,real,ISIC_0025079
nv,real,ISIC_0025080
mel,real,ISIC_0025081
nv,real,ISIC_0025082
bkl,real,ISIC_0025083
mel,real,ISIC_0025085
bkl,real,ISIC_0025086
nv,real,ISIC_0025087
akiec,real,ISIC_0025089
nv,real,ISIC_0025090
nv,real,ISIC_0025091
nv,real,ISIC_0025092
nv,real,ISIC_0025093
nv,real,ISIC_0025094
nv,real,ISIC_0025095
nv,real,ISIC_0025101
bcc,real,ISIC_0025102
nv,real,ISIC_0025104
mel,real,ISIC_0025105
nv,real,ISIC_0025106
nv,real,ISIC_0025108
nv,real,ISIC_0025110
nv,real,ISIC_0025111
bkl,real,ISIC_0025113
nv,real,ISIC_0025115
nv,real,ISIC_0025116
nv,real,ISIC_0025117
nv,real,ISIC_0025119
nv,real,ISIC_0025120
mel,real,ISIC_0025121
nv,real,ISIC_0025123
nv,real,ISIC_0025124
nv,real,ISIC_0025125
mel,real,ISIC_0025127
mel,real,ISIC_0025128
bkl,real,ISIC_0025131
nv,real,ISIC_0025133
nv,real,ISIC_0025134
nv,real,ISIC_0025135
bkl,real,ISIC_0025136
nv,real,ISIC_0025137
nv,real,ISIC_0025138
nv,real,ISIC_0025139
bkl,real,ISIC_0025140
nv,real,ISIC_0025141
nv,real,ISIC_0025142
bcc,real,ISIC_0025144
nv,real,ISIC_0025146
nv,real,ISIC_0025147
nv,real,ISIC_0025148
nv,real,ISIC_0025150
mel,real,ISIC_0025153
df,real,ISIC_0025154
nv,real,ISIC_0025156
bkl,real,ISIC_0025157
nv,real,ISIC_0025159
nv,real,ISIC_0025160
nv,real,ISIC_0025163
nv,real,ISIC_0025164
nv,real,ISIC_0025165
nv,real,ISIC_0025167
nv,real,ISIC_0025168
nv,real,ISIC_0025170
nv,real,ISIC_0025171
nv,real,ISIC_0025173
nv,real,ISIC_0025174
nv,real,ISIC_0025175
nv,real,ISIC_0025176
nv,real,ISIC_0025179
nv,real,ISIC_0025181
akiec,real,ISIC_0025182
nv,real,ISIC_0025183
nv,real,ISIC_0025184
nv,real,ISIC_0025185
mel,real,ISIC_0025188
nv,real,ISIC_0025189
nv,real,ISIC_0025193
akiec,real,ISIC_0025196
nv,real,ISIC_0025198
nv,real,ISIC_0025202
nv,real,ISIC_0025204
nv,real,ISIC_0025205
bkl,real,ISIC_0025209
nv,real,ISIC_0025210
nv,real,ISIC_0025214
nv,real,ISIC_0025215
nv,real,ISIC_0025217
nv,real,ISIC_0025218
mel,real,ISIC_0025219
nv,real,ISIC_0025220
nv,real,ISIC_0025221
bkl,real,ISIC_0025222
df,real,ISIC_0025223
nv,real,ISIC_0025224
nv,real,ISIC_0025225
nv,real,ISIC_0025226
nv,real,ISIC_0025227
nv,real,ISIC_0025229
nv,real,ISIC_0025230
nv,real,ISIC_0025231
mel,real,ISIC_0025234
mel,real,ISIC_0025235
nv,real,ISIC_0025236
nv,real,ISIC_0025237
mel,real,ISIC_0025238
nv,real,ISIC_0025239
nv,real,ISIC_0025241
nv,real,ISIC_0025243
vasc,real,ISIC_0025244
nv,real,ISIC_0025246
akiec,real,ISIC_0025247
vasc,real,ISIC_0025249
nv,real,ISIC_0025251
nv,real,ISIC_0025252
nv,real,ISIC_0025254
nv,real,ISIC_0025255
nv,real,ISIC_0025257
nv,real,ISIC_0025258
nv,real,ISIC_0025259
nv,real,ISIC_0025261
nv,real,ISIC_0025262
akiec,real,ISIC_0025264
nv,real,ISIC_0025267
mel,real,ISIC_0025268
nv,real,ISIC_0025269
nv,real,ISIC_0025270
nv,real,ISIC_0025271
nv,real,ISIC_0025272
nv,real,ISIC_0025274
bkl,real,ISIC_0025275
mel,real,ISIC_0025277
nv,real,ISIC_0025279
nv,real,ISIC_0025280
nv,real,ISIC_0025281
nv,real,ISIC_0025282
nv,real,ISIC_0025283
nv,real,ISIC_0025287
nv,real,ISIC_0025289
nv,real,ISIC_0025291
bkl,real,ISIC_0025292
nv,real,ISIC_0025293
nv,real,ISIC_0025296
bkl,real,ISIC_0025297
nv,real,ISIC_0025298
bcc,real,ISIC_0025299
nv,real,ISIC_0025300
bcc,real,ISIC_0025301
df,real,ISIC_0025302
mel,real,ISIC_0025303
nv,real,ISIC_0025305
nv,real,ISIC_0025307
nv,real,ISIC_0025308
nv,real,ISIC_0025309
nv,real,ISIC_0025311
mel,real,ISIC_0025313
df,real,ISIC_0025314
nv,real,ISIC_0025315
mel,real,ISIC_0025317
nv,real,ISIC_0025318
akiec,real,ISIC_0025319
nv,real,ISIC_0025320
vasc,real,ISIC_0025321
bcc,real,ISIC_0025322
nv,real,ISIC_0025323
mel,real,ISIC_0025324
nv,real,ISIC_0025325
nv,real,ISIC_0025327
nv,real,ISIC_0025328
nv,real,ISIC_0025329
bkl,real,ISIC_0025330
akiec,real,ISIC_0025331
nv,real,ISIC_0025332
nv,real,ISIC_0025333
nv,real,ISIC_0025335
nv,real,ISIC_0025338
bkl,real,ISIC_0025339
nv,real,ISIC_0025340
nv,real,ISIC_0025341
nv,real,ISIC_0025342
nv,real,ISIC_0025343
nv,real,ISIC_0025344
bkl,real,ISIC_0025345
nv,real,ISIC_0025346
nv,real,ISIC_0025348
nv,real,ISIC_0025349
akiec,real,ISIC_0025350
nv,real,ISIC_0025353
nv,real,ISIC_0025354
nv,real,ISIC_0025355
nv,real,ISIC_0025356
nv,real,ISIC_0025357
nv,real,ISIC_0025359
nv,real,ISIC_0025360
nv,real,ISIC_0025361
bcc,real,ISIC_0025362
mel,real,ISIC_0025363
nv,real,ISIC_0025364
nv,real,ISIC_0025367
nv,real,ISIC_0025369
nv,real,ISIC_0025370
nv,real,ISIC_0025372
df,real,ISIC_0025373
bkl,real,ISIC_0025374
bkl,real,ISIC_0025376
nv,real,ISIC_0025381
nv,real,ISIC_0025382
nv,real,ISIC_0025384
nv,real,ISIC_0025385
nv,real,ISIC_0025386
bkl,real,ISIC_0025387
bkl,real,ISIC_0025389
nv,real,ISIC_0025390
bkl,real,ISIC_0025392
nv,real,ISIC_0025393
mel,real,ISIC_0025394
nv,real,ISIC_0025395
nv,real,ISIC_0025396
nv,real,ISIC_0025397
nv,real,ISIC_0025398
nv,real,ISIC_0025399
nv,real,ISIC_0025400
nv,real,ISIC_0025403
nv,real,ISIC_0025405
mel,real,ISIC_0025409
nv,real,ISIC_0025410
akiec,real,ISIC_0025411
mel,real,ISIC_0025413
mel,real,ISIC_0025414
nv,real,ISIC_0025415
nv,real,ISIC_0025416
bcc,real,ISIC_0025417
nv,real,ISIC_0025418
bkl,real,ISIC_0025419
nv,real,ISIC_0025420
nv,real,ISIC_0025421
nv,real,ISIC_0025422
nv,real,ISIC_0025423
vasc,real,ISIC_0025425
nv,real,ISIC_0025426
akiec,real,ISIC_0025427
nv,real,ISIC_0025428
nv,real,ISIC_0025429
nv,real,ISIC_0025430
nv,real,ISIC_0025432
bkl,real,ISIC_0025434
nv,real,ISIC_0025435
nv,real,ISIC_0025437
nv,real,ISIC_0025438
mel,real,ISIC_0025439
nv,real,ISIC_0025441
nv,real,ISIC_0025444
nv,real,ISIC_0025446
nv,real,ISIC_0025449
mel,real,ISIC_0025450
vasc,real,ISIC_0025452
nv,real,ISIC_0025453
bkl,real,ISIC_0025454
nv,real,ISIC_0025455
nv,real,ISIC_0025456
nv,real,ISIC_0025457
nv,real,ISIC_0025458
nv,real,ISIC_0025459
nv,real,ISIC_0025461
nv,real,ISIC_0025462
nv,real,ISIC_0025463
nv,real,ISIC_0025464
bkl,real,ISIC_0025466
bcc,real,ISIC_0025467
nv,real,ISIC_0025468
nv,real,ISIC_0025469
bkl,real,ISIC_0025470
mel,real,ISIC_0025472
nv,real,ISIC_0025475
nv,real,ISIC_0025477
nv,real,ISIC_0025478
nv,real,ISIC_0025480
nv,real,ISIC_0025481
nv,real,ISIC_0025482
nv,real,ISIC_0025483
bkl,real,ISIC_0025485
nv,real,ISIC_0025487
nv,real,ISIC_0025488
nv,real,ISIC_0025490
nv,real,ISIC_0025491
nv,real,ISIC_0025494
nv,real,ISIC_0025496
nv,real,ISIC_0025497
nv,real,ISIC_0025498
nv,real,ISIC_0025499
nv,real,ISIC_0025501
nv,real,ISIC_0025503
nv,real,ISIC_0025505
nv,real,ISIC_0025506
bkl,real,ISIC_0025507
nv,real,ISIC_0025508
bkl,real,ISIC_0025510
nv,real,ISIC_0025511
mel,real,ISIC_0025512
nv,real,ISIC_0025514
bkl,real,ISIC_0025515
nv,real,ISIC_0025518
mel,real,ISIC_0025520
nv,real,ISIC_0025522
mel,real,ISIC_0025524
nv,real,ISIC_0025525
nv,real,ISIC_0025528
bkl,real,ISIC_0025529
bcc,real,ISIC_0025530
mel,real,ISIC_0025531
nv,real,ISIC_0025532
nv,real,ISIC_0025533
nv,real,ISIC_0025536
nv,real,ISIC_0025537
nv,real,ISIC_0025540
nv,real,ISIC_0025541
nv,real,ISIC_0025542
nv,real,ISIC_0025545
mel,real,ISIC_0025546
nv,real,ISIC_0025547
bkl,real,ISIC_0025548
nv,real,ISIC_0025549
mel,real,ISIC_0025550
bkl,real,ISIC_0025554
nv,real,ISIC_0025555
nv,real,ISIC_0025556
bcc,real,ISIC_0025557
nv,real,ISIC_0025559
nv,real,ISIC_0025560
nv,real,ISIC_0025561
nv,real,ISIC_0025563
nv,real,ISIC_0025565
nv,real,ISIC_0025566
bkl,real,ISIC_0025567
nv,real,ISIC_0025569
nv,real,ISIC_0025571
nv,real,ISIC_0025572
mel,real,ISIC_0025573
bcc,real,ISIC_0025576
vasc,real,ISIC_0025578
nv,real,ISIC_0025579
nv,real,ISIC_0025580
nv,real,ISIC_0025581
nv,real,ISIC_0025582
bkl,real,ISIC_0025583
bcc,real,ISIC_0025584
nv,real,ISIC_0025586
nv,real,ISIC_0025587
nv,real,ISIC_0025590
nv,real,ISIC_0025591
nv,real,ISIC_0025593
nv,real,ISIC_0025595
vasc,real,ISIC_0025596
nv,real,ISIC_0025597
nv,real,ISIC_0025598
vasc,real,ISIC_0025599
nv,real,ISIC_0025602
mel,real,ISIC_0025603
akiec,real,ISIC_0025605
vasc,real,ISIC_0025606
nv,real,ISIC_0025610
vasc,real,ISIC_0025612
nv,real,ISIC_0025613
mel,real,ISIC_0025616
nv,real,ISIC_0025618
nv,real,ISIC_0025620
nv,real,ISIC_0025621
df,real,ISIC_0025622
bkl,real,ISIC_0025623
nv,real,ISIC_0025624
nv,real,ISIC_0025625
nv,real,ISIC_0025626
vasc,real,ISIC_0025628
bcc,real,ISIC_0025630
nv,real,ISIC_0025633
nv,real,ISIC_0025634
nv,real,ISIC_0025635
nv,real,ISIC_0025636
akiec,real,ISIC_0025637
nv,real,ISIC_0025640
nv,real,ISIC_0025641
bcc,real,ISIC_0025644
nv,real,ISIC_0025645
nv,real,ISIC_0025646
nv,real,ISIC_0025647
nv,real,ISIC_0025648
nv,real,ISIC_0025652
nv,real,ISIC_0025653
bkl,real,ISIC_0025654
nv,real,ISIC_0025655
bkl,real,ISIC_0025656
nv,real,ISIC_0025657
nv,real,ISIC_0025658
nv,real,ISIC_0025660
bkl,real,ISIC_0025661
mel,real,ISIC_0025663
nv,real,ISIC_0025664
nv,real,ISIC_0025665
df,real,ISIC_0025668
nv,real,ISIC_0025669
nv,real,ISIC_0025670
nv,real,ISIC_0025672
nv,real,ISIC_0025675
nv,real,ISIC_0025676
vasc,real,ISIC_0025677
nv,real,ISIC_0025678
nv,real,ISIC_0025681
nv,real,ISIC_0025682
nv,real,ISIC_0025683
nv,real,ISIC_0025685
nv,real,ISIC_0025686
nv,real,ISIC_0025687
nv,real,ISIC_0025688
nv,real,ISIC_0025689
nv,real,ISIC_0025690
bcc,real,ISIC_0025691
nv,real,ISIC_0025694
nv,real,ISIC_0025695
nv,real,ISIC_0025697
nv,real,ISIC_0025698
bkl,real,ISIC_0025699
bcc,real,ISIC_0025700
nv,real,ISIC_0025701
bkl,real,ISIC_0025703
nv,real,ISIC_0025704
nv,real,ISIC_0025705
nv,real,ISIC_0025706
vasc,real,ISIC_0025707
mel,real,ISIC_0025708
mel,real,ISIC_0025709
bcc,real,ISIC_0025711
akiec,real,ISIC_0025712
nv,real,ISIC_0025713
nv,real,ISIC_0025715
bkl,real,ISIC_0025716
nv,real,ISIC_0025717
bcc,real,ISIC_0025718
bkl,real,ISIC_0025719
nv,real,ISIC_0025722
mel,real,ISIC_0025724
nv,real,ISIC_0025725
nv,real,ISIC_0025727
bcc,real,ISIC_0025731
nv,real,ISIC_0025733
nv,real,ISIC_0025734
nv,real,ISIC_0025737
nv,real,ISIC_0025738
nv,real,ISIC_0025739
nv,real,ISIC_0025741
nv,real,ISIC_0025745
bkl,real,ISIC_0025746
nv,real,ISIC_0025747
nv,real,ISIC_0025749
mel,real,ISIC_0025751
bcc,real,ISIC_0025752
nv,real,ISIC_0025754
nv,real,ISIC_0025756
nv,real,ISIC_0025757
nv,real,ISIC_0025759
nv,real,ISIC_0025760
